Date;Year;Open;High;Low;Close;Adj Close;Volume;Daily Stock Return Direction;Daily Stock Return (%);Daily Trading Volume Change (%);Price Anomaly Category;Volume Anomaly Category;Strong Anomaly
15/04/2020;2020;560;565;525;525;431.13;87,961,700;-;-5.4054;4.2793;Sharp Price Decrease;Normal;No
16/04/2020;2020;535;535;494;505;414.71;100,312,000;-;-3.8095;14.0405;Normal;Normal;No
17/04/2020;2020;520;530;500;520;427.03;94,759,700;+;2.9703;-5.535;Normal;Normal;No
20/04/2020;2020;515;520;496;500;410.6;80,546,300;-;-3.8462;-14.9994;Normal;Normal;No
21/04/2020;2020;500;500;476;482;395.82;92,065,100;-;-3.6;14.3008;Normal;Normal;No
22/04/2020;2020;476;496;466;492;404.03;74,583,700;+;2.0747;-18.9881;Normal;Normal;No
23/04/2020;2020;500;505;490;498;408.96;86,760,800;+;1.2195;16.3268;Normal;Normal;No
24/04/2020;2020;496;515;486;494;405.68;86,275,300;-;-0.8032;-0.5596;Normal;Normal;No
27/04/2020;2020;494;510;494;505;414.71;56,062,600;+;2.2267;-35.0189;Normal;Normal;No
28/04/2020;2020;505;510;490;492;404.03;45,388,100;-;-2.5743;-19.0403;Normal;Normal;No
29/04/2020;2020;492;500;492;498;408.96;25,492,400;+;1.2195;-43.8346;Normal;Normal;No
30/04/2020;2020;500;525;500;510;418.82;85,174,700;+;2.4096;234.118;Normal;Sharp Volume Increase;No
04/05/2020;2020;490;505;484;494;405.68;64,158,400;-;-3.1373;-24.6743;Normal;Normal;No
05/05/2020;2020;500;505;494;500;410.6;37,904,200;+;1.2146;-40.9209;Normal;Normal;No
06/05/2020;2020;505;510;498;500;410.6;40,511,700;0;0;6.8792;Normal;Normal;No
08/05/2020;2020;505;540;500;535;439.35;185,061,500;+;7;356.81;Sharp Price Increase;Sharp Volume Increase;Yes
11/05/2020;2020;545;555;530;530;435.24;113,381,700;-;-0.9346;-38.733;Normal;Normal;No
12/05/2020;2020;525;530;510;515;422.92;47,048,500;-;-2.8302;-58.5043;Normal;Sharp Volume Decrease;No
13/05/2020;2020;515;540;505;535;439.35;69,026,200;+;3.8835;46.7129;Normal;Normal;No
14/05/2020;2020;530;550;510;515;422.92;81,959,800;-;-3.7383;18.7372;Normal;Normal;No
15/05/2020;2020;525;530;505;520;427.03;67,020,800;+;0.9709;-18.2272;Normal;Normal;No
18/05/2020;2020;525;535;520;525;431.13;46,702,500;+;0.9615;-30.3164;Normal;Normal;No
19/05/2020;2020;535;545;525;525;431.13;61,033,100;0;0;30.6849;Normal;Normal;No
20/05/2020;2020;530;535;510;520;427.03;41,916,400;-;-0.9524;-31.3219;Normal;Normal;No
26/05/2020;2020;530;530;515;530;435.24;32,358,800;+;1.9231;-22.8016;Normal;Normal;No
27/05/2020;2020;530;535;515;520;427.03;43,519,100;-;-1.8868;34.4892;Normal;Normal;No
28/05/2020;2020;520;540;515;525;431.13;71,853,100;+;0.9615;65.107;Normal;Normal;No
29/05/2020;2020;525;535;520;535;439.35;58,928,900;+;1.9048;-17.987;Normal;Normal;No
02/06/2020;2020;540;570;535;555;455.77;137,754,600;+;3.7383;133.7641;Normal;Normal;No
03/06/2020;2020;565;580;545;555;455.77;147,855,500;0;0;7.3325;Normal;Normal;No
04/06/2020;2020;565;590;550;570;468.09;214,067,000;+;2.7027;44.7812;Normal;Normal;No
05/06/2020;2020;575;600;575;590;484.51;187,740,200;+;3.5088;-12.2984;Normal;Normal;No
08/06/2020;2020;595;645;595;630;517.36;246,393,600;+;6.7797;31.2418;Sharp Price Increase;Normal;No
09/06/2020;2020;640;650;605;610;500.94;137,515,700;-;-3.1746;-44.1886;Normal;Normal;No
10/06/2020;2020;615;620;580;595;488.62;78,090,100;-;-2.459;-43.2137;Normal;Normal;No
11/06/2020;2020;600;605;570;580;476.3;73,061,000;-;-2.521;-6.4401;Normal;Normal;No
12/06/2020;2020;560;580;545;580;476.3;58,198,800;0;0;-20.3422;Normal;Normal;No
15/06/2020;2020;585;595;560;565;463.98;44,814,200;-;-2.5862;-22.9981;Normal;Normal;No
16/06/2020;2020;575;610;570;610;500.94;110,517,900;+;7.9646;146.6136;Sharp Price Increase;Normal;No
17/06/2020;2020;620;645;605;635;521.47;195,616,600;+;4.0984;76.9999;Normal;Normal;No
18/06/2020;2020;625;640;620;620;509.15;88,492,800;-;-2.3622;-54.7621;Normal;Normal;No
19/06/2020;2020;625;630;605;610;500.94;59,835,400;-;-1.6129;-32.3839;Normal;Normal;No
22/06/2020;2020;610;625;600;605;499.14;49,752,700;-;-0.8197;-16.8507;Normal;Normal;No
23/06/2020;2020;600;615;590;595;490.89;31,468,100;-;-1.6529;-36.751;Normal;Normal;No
24/06/2020;2020;605;620;600;605;499.14;58,104,500;+;1.6807;84.6457;Normal;Normal;No
25/06/2020;2020;595;605;595;600;495.01;18,727,500;-;-0.8264;-67.7693;Normal;Sharp Volume Decrease;No
26/06/2020;2020;610;615;605;605;499.14;29,811,500;+;0.8333;59.1857;Normal;Normal;No
29/06/2020;2020;610;610;595;595;490.89;25,880,900;-;-1.6529;-13.1848;Normal;Normal;No
30/06/2020;2020;605;610;595;605;499.14;30,619,800;+;1.6807;18.3104;Normal;Normal;No
01/07/2020;2020;610;615;595;600;495.01;21,393,300;-;-0.8264;-30.1325;Normal;Normal;No
